,Zip Code,GO Highest Offense Desc,UCR Description
232,78745.0,THEFT                         ,Theft
233,78759.0,THEFT                         ,Theft
234,78753.0,BURGLARY OF VEHICLE           ,Theft
235,78753.0,THEFT                         ,Theft
236,78753.0,BURGLARY NON RESIDENCE        ,Burglary
237,78753.0,BURGLARY NON RESIDENCE        ,Burglary
238,78723.0,THEFT OF BICYCLE              ,Theft
239,78703.0,THEFT FROM AUTO               ,Theft
240,78741.0,BURGLARY OF VEHICLE           ,Theft
241,78704.0,THEFT OF BICYCLE              ,Theft
242,78702.0,BURGLARY OF VEHICLE           ,Theft
243,78701.0,THEFT FROM PERSON             ,Theft
244,78703.0,THEFT                         ,Theft
245,78704.0,BURGLARY OF VEHICLE           ,Theft
246,78744.0,SEXUAL ASSAULT OF CHILD/OBJECT,Rape
247,78741.0,AUTO THEFT                    ,Auto Theft
248,78723.0,AUTO THEFT                    ,Auto Theft
249,78745.0,THEFT                         ,Theft
250,78748.0,AUTO THEFT                    ,Auto Theft
251,78723.0,BURGLARY NON RESIDENCE        ,Burglary
252,78752.0,BURGLARY OF VEHICLE           ,Theft
253,78744.0,BURGLARY OF RESIDENCE         ,Burglary
254,78701.0,RAPE                          ,Rape
255,78702.0,BURGLARY NON RESIDENCE        ,Burglary
256,78745.0,AUTO THEFT                    ,Auto Theft
257,78758.0,THEFT                         ,Theft
258,78705.0,BURGLARY OF VEHICLE           ,Theft
259,78758.0,AUTO THEFT                    ,Auto Theft
260,78751.0,BURGLARY OF VEHICLE           ,Theft
261,78721.0,SEXUAL ASSAULT W/ OBJECT      ,Rape
262,78753.0,BURGLARY NON RESIDENCE        ,Burglary
263,78723.0,AUTO THEFT                    ,Auto Theft
264,78741.0,AGG ASSAULT                   ,Agg Assault
265,78753.0,THEFT                         ,Theft
266,78723.0,THEFT                         ,Theft
267,78704.0,BURGLARY OF RESIDENCE         ,Burglary
268,78752.0,AUTO THEFT                    ,Auto Theft
269,78729.0,AUTO THEFT                    ,Auto Theft
270,78758.0,THEFT FROM PERSON             ,Theft
271,78756.0,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault
272,78748.0,BURGLARY OF VEHICLE           ,Theft
273,78702.0,BURGLARY OF RESIDENCE         ,Burglary
274,78759.0,BURGLARY NON RESIDENCE        ,Burglary
275,78758.0,AUTO THEFT                    ,Auto Theft
276,78758.0,THEFT                         ,Theft
277,78748.0,THEFT BY SHOPLIFTING          ,Theft
278,78746.0,THEFT BY SHOPLIFTING          ,Theft
279,78753.0,THEFT                         ,Theft
280,78757.0,BURG NON RESIDENCE SHEDS      ,Burglary
281,78753.0,BURGLARY OF RESIDENCE         ,Burglary
282,78702.0,BURGLARY OF RESIDENCE         ,Burglary
283,78704.0,THEFT BY SHOPLIFTING          ,Theft
284,78723.0,THEFT BY SHOPLIFTING          ,Theft
285,78753.0,AUTO THEFT                    ,Auto Theft
286,78727.0,THEFT                         ,Theft
287,78756.0,BURGLARY OF RESIDENCE         ,Burglary
288,78703.0,THEFT                         ,Theft
289,78741.0,BURGLARY OF RESIDENCE         ,Burglary
290,78753.0,THEFT BY SHOPLIFTING          ,Theft
291,78723.0,BURGLARY OF RESIDENCE         ,Burglary
292,78757.0,THEFT                         ,Theft
293,78748.0,THEFT BY SHOPLIFTING          ,Theft
294,78704.0,BURGLARY OF VEHICLE           ,Theft
295,78744.0,THEFT                         ,Theft
296,78744.0,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault
297,78744.0,BURGLARY OF RESIDENCE         ,Burglary
299,78703.0,THEFT BY SHOPLIFTING          ,Theft
300,78613.0,THEFT                         ,Theft
301,78721.0,AGG RAPE OF A CHILD           ,Rape
302,78741.0,AUTO THEFT                    ,Auto Theft
303,78723.0,AUTO THEFT                    ,Auto Theft
304,78722.0,THEFT BY SHOPLIFTING          ,Theft
305,78745.0,AUTO THEFT                    ,Auto Theft
306,78721.0,THEFT                         ,Theft
307,78750.0,THEFT                         ,Theft
308,78741.0,BURGLARY OF VEHICLE           ,Theft
310,78757.0,BURGLARY OF VEHICLE           ,Theft
311,78741.0,THEFT OF AUTO PARTS           ,Theft
312,78753.0,THEFT FROM AUTO               ,Theft
313,78744.0,BURGLARY OF VEHICLE           ,Theft
314,78745.0,BURGLARY OF VEHICLE           ,Theft
316,78741.0,BURGLARY OF VEHICLE           ,Theft
317,78757.0,BURGLARY OF VEHICLE           ,Theft
318,78758.0,THEFT                         ,Theft
319,78752.0,THEFT                         ,Theft
320,78759.0,BURGLARY OF VEHICLE           ,Theft
321,78741.0,THEFT                         ,Theft
322,78751.0,BURGLARY OF VEHICLE           ,Theft
323,78703.0,THEFT OF BICYCLE              ,Theft
324,78702.0,BURGLARY OF VEHICLE           ,Theft
325,78748.0,BURGLARY OF VEHICLE           ,Theft
326,78746.0,BURGLARY OF VEHICLE           ,Theft
327,78746.0,THEFT                         ,Theft
328,78754.0,THEFT                         ,Theft
329,78758.0,THEFT                         ,Theft
330,78704.0,THEFT OF LICENSE PLATE        ,Theft
331,78721.0,THEFT                         ,Theft
332,78705.0,BURGLARY OF VEHICLE           ,Theft
333,78724.0,THEFT                         ,Theft
334,78750.0,THEFT                         ,Theft
335,78705.0,BURGLARY OF VEHICLE           ,Theft
336,78701.0,THEFT                         ,Theft
337,78741.0,THEFT                         ,Theft
338,78753.0,BURGLARY OF VEHICLE           ,Theft
339,78756.0,THEFT                         ,Theft
340,78746.0,BURGLARY OF VEHICLE           ,Theft
341,78746.0,THEFT BY SHOPLIFTING          ,Theft
342,78753.0,THEFT                         ,Theft
343,78749.0,THEFT OF LICENSE PLATE        ,Theft
344,78751.0,THEFT                         ,Theft
345,78741.0,THEFT                         ,Theft
346,78744.0,THEFT                         ,Theft
347,78744.0,BURGLARY OF VEHICLE           ,Theft
348,78702.0,THEFT                         ,Theft
349,78741.0,BURGLARY OF VEHICLE           ,Theft
350,78701.0,THEFT                         ,Theft
351,78703.0,THEFT                         ,Theft
352,78753.0,THEFT                         ,Theft
353,78748.0,THEFT                         ,Theft
354,78723.0,THEFT                         ,Theft
355,78703.0,THEFT                         ,Theft
356,78744.0,BURGLARY OF VEHICLE           ,Theft
357,78731.0,THEFT                         ,Theft
358,78753.0,THEFT OF METAL                ,Theft
359,78749.0,THEFT                         ,Theft
360,78745.0,THEFT                         ,Theft
361,78705.0,BURGLARY OF VEHICLE           ,Theft
362,78758.0,BURGLARY OF VEHICLE           ,Theft
363,78744.0,BURGLARY OF VEHICLE           ,Theft
364,78752.0,THEFT                         ,Theft
365,78723.0,THEFT                         ,Theft
366,78704.0,THEFT                         ,Theft
367,78756.0,THEFT                         ,Theft
368,78745.0,THEFT                         ,Theft
369,78702.0,BURGLARY OF VEHICLE           ,Theft
370,78701.0,BURGLARY OF VEHICLE           ,Theft
371,78749.0,THEFT                         ,Theft
372,78724.0,THEFT FROM PERSON             ,Theft
373,78704.0,THEFT OF BICYCLE              ,Theft
374,78704.0,THEFT                         ,Theft
375,78729.0,BURGLARY OF VEHICLE           ,Theft
376,78704.0,THEFT OF BICYCLE              ,Theft
377,78701.0,THEFT FROM BUILDING           ,Theft
378,78703.0,THEFT OF BICYCLE              ,Theft
379,78705.0,BURGLARY OF VEHICLE           ,Theft
380,78702.0,THEFT                         ,Theft
381,78702.0,BURGLARY OF VEHICLE           ,Theft
382,78727.0,THEFT                         ,Theft
383,78702.0,BURGLARY OF VEHICLE           ,Theft
384,78702.0,AGG ROBBERY/DEADLY WEAPON     ,Robbery
385,78704.0,AGG ASSAULT                   ,Agg Assault
386,78749.0,BURGLARY OF VEHICLE           ,Theft
387,78741.0,BURGLARY OF RESIDENCE         ,Burglary
388,78748.0,BURGLARY NON RESIDENCE        ,Burglary
389,78704.0,THEFT                         ,Theft
390,78704.0,AUTO THEFT                    ,Auto Theft
391,78741.0,BURGLARY OF VEHICLE           ,Theft
392,78759.0,AUTO THEFT                    ,Auto Theft
393,78727.0,THEFT BY SHOPLIFTING          ,Theft
394,78757.0,BURGLARY NON RESIDENCE        ,Burglary
395,78741.0,AUTO THEFT                    ,Auto Theft
396,78703.0,BURGLARY OF RESIDENCE         ,Burglary
397,78702.0,AUTO THEFT                    ,Auto Theft
398,78735.0,BURGLARY NON RESIDENCE        ,Burglary
399,78753.0,BURGLARY OF VEHICLE           ,Theft
400,78745.0,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault
401,78753.0,THEFT                         ,Theft
402,78748.0,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault
403,78758.0,AUTO THEFT                    ,Auto Theft
404,78748.0,THEFT                         ,Theft
405,78613.0,THEFT BY SHOPLIFTING          ,Theft
406,78745.0,THEFT BY SHOPLIFTING          ,Theft
407,78741.0,AGG ASSAULT                   ,Agg Assault
408,78727.0,BURGLARY OF RESIDENCE         ,Burglary
409,78744.0,AUTO THEFT                    ,Auto Theft
